,Virus,Virus Sample,Host genome,Host Sample,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus,Confidence score,Main method,Additional methods
1282,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr2D2E2F__bin_40,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.4,iPHoP-RF,None
1283,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr3G3H3I__bin_132,SEr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.4,iPHoP-RF,None
1284,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,GB_GCA_003165005.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.1,iPHoP-RF,blast;83.20
1285,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,LASYr2D2E2F__bin_32,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.1,iPHoP-RF,blast;85.10
1286,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,BAr1A1B1C__bin_92,BAr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,91.8,iPHoP-RF,None
1287,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr2D2E2F__bin_23,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,91.8,iPHoP-RF,None
1288,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,GB_GCA_021781255.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,91.4,iPHoP-RF,blast;88.40
1289,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr2D2E2F__bin_184,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,91.1,iPHoP-RF,blast;89.70
1290,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,GB_GCA_003134815.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.9,blast,iPHoP-RF;84.20
1291,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,LAWAr2D2E2F__bin_7,LAWAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.7,blast,iPHoP-RF;89.80
1292,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,CRr2D2E2F__bin_49,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.5,iPHoP-RF,None
1293,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr2D2E2F__bin_145,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.5,blast,iPHoP-RF;89.80
1294,CRr2D2E2F_vRhyme_unbinned_23,CRr2D2E2F,SEr3G3H3I__bin_130,SEr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.5,blast,iPHoP-RF;89.80
1295,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,CRr1A1B1C__bin_120,CRr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,96.1,blast,iPHoP-RF;66.30
1296,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,MGr1A1B1C__bin_71,MGr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,95.9,blast,iPHoP-RF;65.60
1297,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,MGr2D2E2F__bin_108,MGr2D2E2F,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,93.8,blast,iPHoP-RF;71.90
1298,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,MGr3G3H3I__bin_13,MGr3G3H3I,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,93.8,blast,iPHoP-RF;74.30
1299,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,GB_GCA_003140115.1,iPHoP_db,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,90.8,blast,None
1300,CRr2D2E2F_vRhyme_unbinned_24,CRr2D2E2F,GB_GCA_019239975.1,iPHoP_db,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,JAFAZE01,90.5,blast,None
1301,CRr2D2E2F_vRhyme_unbinned_30,CRr2D2E2F,RS_GCF_013114825.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,94.1,iPHoP-RF,None
1302,CRr2D2E2F_vRhyme_unbinned_30,CRr2D2E2F,RS_GCF_018398895.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,92.4,iPHoP-RF,None
1303,CRr2D2E2F_vRhyme_unbinned_30,CRr2D2E2F,RS_GCF_000472965.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,91.8,iPHoP-RF,None
1304,CRr2D2E2F_vRhyme_unbinned_30,CRr2D2E2F,RS_GCF_001693385.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,91.4,iPHoP-RF,None
1305,CRr2D2E2F_vRhyme_unbinned_30,CRr2D2E2F,RS_GCF_009930815.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,91.4,iPHoP-RF,None
1306,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,SEr3G3H3I__bin_69,SEr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,95.7,iPHoP-RF,None
1307,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003142015.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,95.4,iPHoP-RF,None
1308,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003164255.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,95.4,iPHoP-RF,None
1309,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,SEr2D2E2F__bin_65,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,95.1,iPHoP-RF,None
1310,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_021780075.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,94.7,iPHoP-RF,None
1311,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,MGr2D2E2F__bin_111,MGr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,94.4,iPHoP-RF,None
1312,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,SEr2D2E2F__bin_41,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,94.4,iPHoP-RF,None
1313,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003134855.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,94.1,iPHoP-RF,None
1314,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,SEr3G3H3I__bin_275,SEr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,94.1,iPHoP-RF,None
1315,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003159355.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.7,iPHoP-RF,None
1316,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,MGr1A1B1C__bin_35,MGr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.7,iPHoP-RF,None
1317,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_002314435.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.4,iPHoP-RF,None
1318,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003165075.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.4,iPHoP-RF,None
1319,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,CRr2D2E2F__bin_61,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.1,iPHoP-RF,None
1320,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,LABRr1A1B1C__bin_18,LABRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.1,iPHoP-RF,None
1321,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,LASCr2D2E2F__bin_4,LASCr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.1,iPHoP-RF,None
1322,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,LAWAr2D2E2F__bin_95,LAWAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.1,iPHoP-RF,None
1323,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,SEr2D2E2F__bin_146,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,93.1,iPHoP-RF,None
1324,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,MGr3G3H3I__bin_159,MGr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.8,iPHoP-RF,blast;90.60
1325,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_003151985.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.1,iPHoP-RF,None
1326,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,GB_GCA_021836865.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,92.1,iPHoP-RF,None
1327,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,CRr3G3H3I__bin_76,CRr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,92.0,blast,None
1328,CRr2D2E2F_vRhyme_unbinned_32,CRr2D2E2F,MGr2D2E2F__bin_56,MGr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,90.5,iPHoP-RF,None
1329,CRr2D2E2F_vRhyme_unbinned_33,CRr2D2E2F,GB_GCA_003168255.1,iPHoP_db,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,PALSA-505,92.8,blast,None
1330,CRr2D2E2F_vRhyme_unbinned_33,CRr2D2E2F,LASAr3G3H3I__bin_125,LASAr3G3H3I,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,90.9,blast,iPHoP-RF;70.00
1331,CRr2D2E2F_vRhyme_unbinned_33,CRr2D2E2F,BAr1A1B1C__bin_132,BAr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,90.6,blast,iPHoP-RF;60.10
1332,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,MGr2D2E2F__bin_108,MGr2D2E2F,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,94.7,iPHoP-RF,None
1333,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,MGr1A1B1C__bin_71,MGr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,93.7,iPHoP-RF,None
1334,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,GB_GCA_019246795.1,iPHoP_db,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,93.1,iPHoP-RF,None
1335,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,MHr1A1B1C__bin_59,MHr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Bog-532,91.4,iPHoP-RF,None
1336,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,BAr1A1B1C__bin_132,BAr1A1B1C,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,90.8,iPHoP-RF,None
1337,CRr2D2E2F_vRhyme_unbinned_37,CRr2D2E2F,GB_GCA_003161205.1,iPHoP_db,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504,90.1,iPHoP-RF,None
1338,CRr2D2E2F_vRhyme_unbinned_38,CRr2D2E2F,BOr3G3H3I__bin_5,BOr3G3H3I,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,,,92.8,blast,iPHoP-RF;54.40
1339,CRr2D2E2F_vRhyme_unbinned_4,CRr2D2E2F,MGr3G3H3I__bin_48,MGr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,iPHoP-RF,None
1340,CRr2D2E2F_vRhyme_unbinned_4,CRr2D2E2F,MHr3G3H3I__bin_79,MHr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.1,iPHoP-RF,None
1341,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,BAr1A1B1C__bin_44,BAr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,95.7,iPHoP-RF,None
1342,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,BAr3G3H3I__bin_6,BAr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,95.4,iPHoP-RF,None
1343,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,CRr1A1B1C__bin_41,CRr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,95.4,iPHoP-RF,None
1344,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,SEr2D2E2F__bin_110,SEr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,95.4,iPHoP-RF,None
1345,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,BAr2D2E2F__bin_71,BAr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,94.4,iPHoP-RF,None
1346,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,MGr2D2E2F__bin_99,MGr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,93.7,iPHoP-RF,None
1347,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,SEr3G3H3I__bin_9,SEr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931,93.4,iPHoP-RF,None
1348,CRr2D2E2F_vRhyme_unbinned_41,CRr2D2E2F,BAr1A1B1C__bin_32,BAr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,ATCC43930,Stellaceae,,92.8,blast,None
1349,CRr2D2E2F_vRhyme_unbinned_42,CRr2D2E2F,MHr2D2E2F__bin_126,MHr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,93.9,blast,iPHoP-RF;56.20
1350,CRr2D2E2F_vRhyme_unbinned_42,CRr2D2E2F,GB_GCA_002479255.1,iPHoP_db,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,92.3,blast,None
1351,CRr2D2E2F_vRhyme_unbinned_44,CRr2D2E2F,MGr1A1B1C__bin_59,MGr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,93.2,blast,iPHoP-RF;78.00
1352,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,GB_GCA_003139975.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.1,iPHoP-RF,blast;89.40
1353,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MGr3G3H3I__bin_55,MGr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.1,iPHoP-RF,blast;91.50
1354,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,SEr2D2E2F__bin_144,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.1,iPHoP-RF,blast;91.50
1355,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr2D2E2F__bin_75,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.7,iPHoP-RF,blast;91.50
1356,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr3G3H3I__bin_74,CRr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.7,iPHoP-RF,blast;88.50
1357,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,LASAr3G3H3I__bin_118,LASAr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.7,iPHoP-RF,blast;89.50
1358,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BAr1A1B1C__bin_10,BAr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.4,iPHoP-RF,blast;91.50
1359,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BOr3G3H3I__bin_20,BOr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.1,iPHoP-RF,blast;91.50
1360,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr3G3H3I__bin_113,MHr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,94.1,iPHoP-RF,None
1361,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BAr2D2E2F__bin_5,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.4,iPHoP-RF,blast;88.50
1362,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MGr1A1B1C__bin_80,MGr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.4,iPHoP-RF,None
1363,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BAr2D2E2F__bin_44,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.1,iPHoP-RF,blast;91.60
1364,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,GB_GCA_003131315.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.4,blast,iPHoP-RF;77.10
1365,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr1A1B1C__bin_101,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.4,iPHoP-RF,blast;88.70
1366,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr1A1B1C__bin_101,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.1,iPHoP-RF,blast;88.50
1367,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,GB_GCA_003139095.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.1,iPHoP-RF,blast;89.40
1368,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr2D2E2F__bin_59,MHr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.8,iPHoP-RF,blast;91.20
1369,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr2D2E2F__bin_7,MHr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.7,blast,iPHoP-RF;89.20
1370,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr2D2E2F__bin_41,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.4,iPHoP-RF,None
1371,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BAr2D2E2F__bin_124,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.1,blast,iPHoP-RF;90.80
1372,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr2D2E2F__bin_65,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.8,iPHoP-RF,None
1373,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,LASYr2D2E2F__bin_31,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.8,iPHoP-RF,None
1374,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MGr2D2E2F__bin_49,MGr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.8,iPHoP-RF,None
1375,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,BAr1A1B1C__bin_104,BAr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,iPHoP-RF,blast;88.50
1376,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr3G3H3I__bin_68,MHr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,iPHoP-RF,None
1377,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,CRr1A1B1C__bin_118,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.1,iPHoP-RF,blast;89.40
1378,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,LASYr2D2E2F__bin_27,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.1,iPHoP-RF,blast;89.70
1379,CRr2D2E2F_vRhyme_unbinned_45,CRr2D2E2F,MHr1A1B1C__bin_81,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.1,iPHoP-RF,None
1380,CRr2D2E2F_vRhyme_unbinned_46,CRr2D2E2F,GB_GCA_003225555.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,95.1,iPHoP-RF,None
1381,CRr2D2E2F_vRhyme_unbinned_48,CRr2D2E2F,LASCr2D2E2F__bin_16,LASCr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,92.8,iPHoP-RF,None
1382,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,MGr1A1B1C__bin_130,MGr1A1B1C,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,95.2,blast,iPHoP-RF;92.40
1383,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,CRr3G3H3I__bin_35,CRr3G3H3I,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,94.5,blast,iPHoP-RF;89.50
1384,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,LASAr3G3H3I__bin_49,LASAr3G3H3I,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,93.7,iPHoP-RF,None
1385,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,CRr1A1B1C__bin_55,CRr1A1B1C,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,93.4,iPHoP-RF,None
1386,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,CRr2D2E2F__bin_57,CRr2D2E2F,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,93.1,iPHoP-RF,None
1387,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,MHr3G3H3I__bin_73,MHr3G3H3I,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,92.8,blast,iPHoP-RF;89.80
1388,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,LABRr1A1B1C__bin_139,LABRr1A1B1C,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,92.3,blast,iPHoP-RF;89.80
1389,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,MGr2D2E2F__bin_13,MGr2D2E2F,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,92.1,iPHoP-RF,None
1390,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,GB_GCA_003166375.1,iPHoP_db,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,91.6,blast,iPHoP-RF;67.70
1391,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,LASCr2D2E2F__bin_25,LASCr2D2E2F,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,91.2,blast,iPHoP-RF;90.50
1392,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,MGr3G3H3I__bin_103,MGr3G3H3I,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,91.2,blast,iPHoP-RF;88.90
1393,CRr2D2E2F_vRhyme_unbinned_59,CRr2D2E2F,LAWAr2D2E2F__bin_130,LAWAr2D2E2F,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,90.5,iPHoP-RF,None
