Genome,Sample,site,treatment,Genomad realm,Genomad kingdom,Genomad phylum,Genomad class,Genomad order,Genomad family,checkv_quality,lytic_state,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus
CRr3G3H3I_vRhyme_unbinned_34,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr3G3H3I_vRhyme_unbinned_35,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr3G3H3I_vRhyme_unbinned_36,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_37,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_38,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_39,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_4,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr3G3H3I_vRhyme_unbinned_40,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_41,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_42,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_43,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_44,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_45,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_46,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
CRr3G3H3I_vRhyme_unbinned_47,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_48,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_49,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
CRr3G3H3I_vRhyme_unbinned_5,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_50,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257
CRr3G3H3I_vRhyme_unbinned_51,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_52,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_53,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_54,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_55,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Bog-1198
CRr3G3H3I_vRhyme_unbinned_56,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_57,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
CRr3G3H3I_vRhyme_unbinned_58,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_59,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_6,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_60,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_61,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_62,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_63,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
CRr3G3H3I_vRhyme_unbinned_64,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA8199,PALSA-1440
CRr3G3H3I_vRhyme_unbinned_65,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr3G3H3I_vRhyme_unbinned_66,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
CRr3G3H3I_vRhyme_unbinned_67,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_68,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_69,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,
CRr3G3H3I_vRhyme_unbinned_7,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_70,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_71,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_72,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_73,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,
CRr3G3H3I_vRhyme_unbinned_74,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_75,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Mesyanzhinovviridae,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_76,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_77,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Not-determined,lytic_scaffold,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,
CRr3G3H3I_vRhyme_unbinned_78,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_79,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_8,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_80,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,65-79
CRr3G3H3I_vRhyme_unbinned_81,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
CRr3G3H3I_vRhyme_unbinned_82,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Palsa-1439,Palsa-1439,Palsa-1439
CRr3G3H3I_vRhyme_unbinned_83,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
CRr3G3H3I_vRhyme_unbinned_84,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455
CRr3G3H3I_vRhyme_unbinned_85,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
CRr3G3H3I_vRhyme_unbinned_86,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr3G3H3I_vRhyme_unbinned_87,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
CRr3G3H3I_vRhyme_unbinned_88,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
CRr3G3H3I_vRhyme_unbinned_89,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
CRr3G3H3I_vRhyme_unbinned_9,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
CRr3G3H3I_vRhyme_unbinned_90,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
CRr3G3H3I_vRhyme_unbinned_91,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257
CRr3G3H3I_vRhyme_unbinned_92,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
CRr3G3H3I_vRhyme_unbinned_93,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Planctomycetota,Brocadiia,,,
CRr3G3H3I_vRhyme_unbinned_94,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
CRr3G3H3I_vRhyme_unbinned_95,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
CRr3G3H3I_vRhyme_unbinned_96,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
CRr3G3H3I_vRhyme_unbinned_97,CRr3G3H3I,Crocach,DAM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LABRr1A1B1C_vRhyme_bin_1,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,Bacteria,Myxococcota,Polyangia,Polyangiales,SG8-38,UBA1660
LABRr1A1B1C_vRhyme_bin_11,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_12,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lysogenic_virus,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1137
LABRr1A1B1C_vRhyme_bin_13,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_15,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_16,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
LABRr1A1B1C_vRhyme_bin_17,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lysogenic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_18,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_19,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_20,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_21,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,,,,,,
LABRr1A1B1C_vRhyme_bin_23,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_virus,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LABRr1A1B1C_vRhyme_bin_9,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,High-quality,lysogenic_virus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
LABRr1A1B1C_vRhyme_unbinned_1,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_10,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_100,LABRr1A1B1C,Langwell,NAT,Bicaudaviridae,,,,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_101,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_102,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_103,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_104,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_105,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_106,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_107,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
LABRr1A1B1C_vRhyme_unbinned_108,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_109,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA11358,UBA7542
LABRr1A1B1C_vRhyme_unbinned_11,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_110,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_111,LABRr1A1B1C,Langwell,NAT,,,,,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_112,LABRr1A1B1C,Langwell,NAT,,,,,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_113,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_114,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_115,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504
LABRr1A1B1C_vRhyme_unbinned_116,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Not-determined,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Palsa-288
LABRr1A1B1C_vRhyme_unbinned_117,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504
LABRr1A1B1C_vRhyme_unbinned_118,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504
LABRr1A1B1C_vRhyme_unbinned_119,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,
LABRr1A1B1C_vRhyme_unbinned_12,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_120,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,integrated_prophage,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11
LABRr1A1B1C_vRhyme_unbinned_121,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
LABRr1A1B1C_vRhyme_unbinned_122,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
LABRr1A1B1C_vRhyme_unbinned_123,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,integrated_prophage,,,,,,
LABRr1A1B1C_vRhyme_unbinned_124,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
LABRr1A1B1C_vRhyme_unbinned_125,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LABRr1A1B1C_vRhyme_unbinned_126,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
LABRr1A1B1C_vRhyme_unbinned_13,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_14,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_15,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_16,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_17,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_18,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
LABRr1A1B1C_vRhyme_unbinned_19,LABRr1A1B1C,Langwell,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,SbD1
